Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_text,job_state,age,python_yn,rstudio_yn,spark_yn,aws_yn,excel_yn
Jr. Data Scientist,Employer Provided Salary:$65K - $80K," Apply Statistical and Machine Learning methods to specific business problems and data.
 Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.
 Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metrics
 Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.
 Design, develop, evaluate, and release highly innovative models elevate the customer experience and track impact over time",-1.0,Net2Aspire,Remote,-1,51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,0,1,65,80,72.5,Net2Aspire, Remote,-1,0,0,0,0,0
Data Scientist,Employer Provided Salary:$60K - $140K,"iOS: https://apps.apple.com/us/app/id1551871735
Android: https://play.google.com/store/apps/details?id=com.redko.redvest
Get to work with the one of the top 30 ranking Finance Apps on the App Store, Redvest. Learn to produce a mobile app from start to finish! Redvest is stock market simulator that reproduces behavior and features of the stock market, so that our users can practice trading crypto currencies and stocks with 0 financial risk. Our users get $ 100,000 free paper money for their gamified stock market learning experience. We are looking for a team member that is passionate about or wants to learn the stock market and finance. You might also get an opportunity to work on different web based and mobile projects.
We are seeking a skilled Data Scientist to join our mobile app development team. The ideal candidate will be responsible for developing and implementing data-driven solutions to improve our mobile app's performance and user experience. You will be working closely with product managers, engineers, and designers to identify areas for improvement and optimization.",5.0,"Redvest App
5.0",Remote,-1,1 to 50 Employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,0,1,60,140,100.0,"Redvest App
", Remote,-1,0,0,0,0,0
Data Scientist,Employer Provided Salary:$95K - $135K,"About Zest AI:
Zest AI has been perfecting AI for consumer lending decisions since 2009. Our Model Management System helps lenders make better decisions and better loans—increasing revenue, reducing risk, and automating compliance. Our mission is to make fair and transparent credit available to everyone and our software creates some of the most inclusive risk models in the industry. Using Zest-built machine learning software, financial institutions can dramatically expand credit access to deserving people with no added risk. Learn more at Zest.ai and connect with us on Twitter @Zest_AI or our Insights blog.
Zest is committed to diversity, equity, and inclusion and encourages professionals from underrepresented groups in technology and financial services to apply.
ZestFinance, Inc. seeks a Data Scientist in Burbank, CA.",-1.0,Zest AI,Remote,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,1,95,135,115.0,Zest AI, Remote,-1,0,0,0,0,0
Genomics Data Scientist,Employer Provided Salary:$100K - $125K,"Description:
Company Summary
Avellino, a global leader in precision medicine, is seeking a talented and independent Software Developer to join its subsidiary, Palmona Pathogenomics. Palmona provides the most advanced pathogen genomic analysis for the most effective rapid treatments and accurate global surveillance of infectious diseases. Palmona has rapidly made progress in the fingerprinting and comparison of pathogenic genomes, with the aim of making the comprehensive results available to physicians, healthcare facilities and government agencies.
Requirements:
Position Summary",3.0,"Avellino Lab USA Inc
3.0",Remote,-1,51 to 200 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,-1,0,1,100,125,112.5,"Avellino Lab USA Inc
", Remote,11,0,0,0,0,0
Data Scientist,$79K - $122K (Glassdoor est.),"Career Area:
Information Analytics
Job Description:
We have an exciting position open within Caterpillar as a Data Scientist for the Earthmoving Division, a multi-billion dollar division. In this role, you will have the opportunity to be part of the team that develops analytical tools to help provide valuable financial insights to Senior Leadership
Areas of responsibility include:
Responsible for large datasets and data modeling.
Relocation is available for this position.",4.0,"Caterpillar
4.0","Peoria, IL",-1,10000+ Employees,1925,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,79,122,100.5,"Caterpillar
", IL,98,0,0,0,0,0
Senior Data Scientist,Employer Provided Salary:$129K - $207K,"About the team
Zillow Group is currently seeking a Senior Data Scientist to join the ZG data science org. We’re passionate about understanding the customer journey on our platforms through deep analysis and measurement. We relentlessly advocate for a seamless and delightful home shopping experience from dream to reality! The team works closely with the product & marketing organizations to discover strategic opportunities in areas spanning the search and discovery process, membership and re-engagement, evaluation and curation of potential homes, and personalization for both the Zillow and Trulia brands. Finally, we scale this work by partnering with engineering teams to build and maintain key analytics tools and infrastructure.
About the role
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In California, Colorado, Connecticut, Nevada, New York City and Washington the standard base pay range for this role is $129,400.00 - $206,600.00 Annually. This base pay range is specific to California, Colorado, Connecticut, Nevada, New York City and Washington and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location. Actual amounts will vary depending on experience, performance and location.",3.9,"Zillow
3.9",Remote,-1,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),-1,0,1,129,207,168.0,"Zillow
", Remote,18,0,0,0,0,0
Data Scientist I,Employer Provided Salary:$95K,"Overview:
Now is the time to join us!
At Virgin Pulse we value and celebrate diversity and we are committed to creating an inclusive environment for all employees. We believe in creating teams made up of individuals with various backgrounds, experiences, and perspectives. Why? Because diversity inspires innovation, collaboration, and challenges us to produce better solutions. But more than this, diversity is our strength, and a catalyst in our ability to #changelivesforgood.
Responsibilities:
Who are you?
You are a Data Scientist who will hit the ground running to support the organization's efforts to drive personalization and targeted intervention in the health engagement SaaS industry. You have a solid statistical and modeling skill set and the technical tools to complete projects end to end. This role will be responsible for preparing datasets, building predictive machine learning models, and optimizing model performance. We are looking for someone who is self-directed and thrives working in a fast-paced, collaborative environment in which expectations are high both for the quality and speed of work. A successful candidate will have a hunger for continuous learning, a desire to grow and lead, and strong interpersonal relationship skills.




Qualifications:",3.5,"VirginPulse
3.5",Remote,-1,501 to 1000 Employees,2004,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),-1,0,1,95,95,95.0,"VirginPulse
", Remote,19,0,0,0,0,0
Data Scientist,Employer Provided Salary:$112K - $146K,"Overview
Accepting applications
Open & closing dates

05/12/2023 to 05/25/2023

This job will close when we have received 400 applications which may be sooner than the closing date. Learn more
Salary

$112,015 - $145,617 per year

Pay scale & grade

GS 13

Location
Washington
Many vacancies
Remote job

No

Telework eligible

Yes—as determined by the agency policy.

Travel Required

Occasional travel - May require domestic and/or International travel.

Relocation expenses reimbursed

No

Appointment type

Permanent -

Work schedule

Full-time -

Service

Competitive

Promotion potential

13

Job family (Series)

1560 Data Science Series

Supervisory status

No

Security clearance

Secret

Drug test

Yes

Position sensitivity and risk

Moderate Risk (MR)

Trust determination process

Suitability/Fitness

National security

Announcement number

SharedCert-2023-0006

Control number

724980800
Summary

You can make a difference in the world with a career at the Department of State! As a Data Scientist, you can impact U.S. foreign policy goals by supporting data-driven diplomacy. We are hiring many experienced Civil Service Data Scientists to work in various offices and portfolios across the Department. Positions may require a Secret security clearance or higher. If eligible, applicants will be referred to similar Data Scientist vacancies across the Department for an extended time period.

Help
This job is open to
The public

U.S. Citizens, Nationals or those who owe allegiance to the U.S.

Help
Duties
Serve as a technical authority on analytical, statistical, and programming techniques necessary to collect, organize, analyze, and interpret unique and highly specialized data sets for decision-making in the Department.
Participate in discovery processes with business owner teams and stakeholders to identify requirements, expected outcomes for new or existing initiatives, and the measurements of success.
Identify internal and external data sources, leverage new data collection processes and perform all phases of the systems development life cycle required in the design, development, and implementation of features enabling data access.
Provide technical expertise, leadership, and support to many Department and interagency interlocutors to ensure maximum achievement of product and program objectives; develop, implement and oversee new data science technologies and techniques.
Help
Requirements
Conditions of Employment
U.S. Citizenship is required.
Incumbent will be subject to random drug testing.
One year probationary period, unless excepted by regulation.
Depending on the job, a Secret security clearance or higher may be required.
Successfully pass the E-Verify employment verification check. To learn more about E-Verify, including your rights and responsibilities, visit: www.dhs.gov/E-Verify/
Qualifications

Applicants MUST meet the required basic entry qualification requirements described below by the closing date of this announcement:


Have an undergraduate or graduate degree from an accredited college or university in mathematics, statistics, computer science, data science or field directly related to the position. The degree must be in a major field of study (at least at the baccalaureate level) that is appropriate for the position;

OR

Courses equivalent to a major field of study (30 semester hours) as shown above, plus additional education or appropriate experience.

You MUST submit transcripts as verification of educational requirement by the closing date of this announcement. If you fail to provide requested information, or the information you submit is insufficient to verify your eligibility, you WILL lose consideration for this position.

IN ADDITION to the BASIC REQUIREMENTS, you must have at least 52 weeks of full time experience demonstrating accomplishment of all the duties and competencies described below in order to qualify. Please make sure your resume reflects this time required.

Subject matter experts will evaluate your resume based on the competencies outlined below.

Collaborates with colleagues, customers, and stakeholders to identify the appropriate data, methodological approaches, and designs. Determine user needs and how they align to organizational objectives.

Conducts analyses using software and/or programming languages such as R, Python, SQL, or SAS to explore/group data, test hypotheses, predict outcomes, and inform decisions. Derive meaning from quantitative and/or qualitative data (i.e. datasets that may be large, disparate, unstructured, and/or complex).

Translate complex concepts, findings, limitations, and recommendations of improvements into easy-to-understand products. Closely tie findings and conclusions into the original problem statement, and team objectives to communicate to both experts and nontechnical audiences.

To qualify for the GS-13 level, your resume must show at least one year experience performing the competencies defined above relating to study design, data analysis, and communication.

Education

See the qualifications section of this vacancy announcement for education requirements.

When an applicant has less than one year of specialized experience as described in the announcement, he or she may combine successfully completed graduate-level education with experience to meet the total qualification requirements. Generally, 18 graduate semester hours is equivalent to 1 full-time year of graduate study (your school and department determine what constitutes 1 full time year of graduate study). The percentage of specialized work experience (for example, 6 months equals 50%) and the percentage of graduate study (for example, 9 graduate hours for a GS-07 equals 50% where 18 graduate hours constitute a full time year) must total at least 100%.

Education completed in foreign colleges or universities may be used to meet the education requirements if you can show that the foreign education is comparable to that received in an accredited educational institution in the United States. It is your responsibility to provide such evidence when applying. For a list of accredited organizations recognized as specializing in interpretation of foreign education credentials, visit: www.naces.org/members.php.

Additional information

For reasonable accommodation at the U.S. Department of State, please contact the Office of Accessibility and Accommodations at (202) 663-3474 or OAA@state.gov.
If eligible, telework and remote work agreements may be permitted with supervisory approval. Please note that any approved remote work arrangement is subject to the locality pay area of the alternative telework worksite.
Multiple positions may be filled from this announcement. If eligible, applicants to this announcement may be referred to other similar positions in other Bureaus/Offices in the Department for up to 240 days. Telework eligibility and security clearance requirements may vary for such similar positions.

Benefits
How You Will Be Evaluated

You will be evaluated for this job based on how well you meet the qualifications above.

The evaluation process for this job is different from a typical job announcement.

Human Resources will determine whether applicants meet the basic requirements outlined for this position and competencies will be evaluated by subject matter experts. Apply only if you meet the qualifications.

1. Application & Resume review
Human Resources will determine whether you meet the basic requirements. Then, subject matter experts will review your resume to further determine your qualifications based on the required competencies.
2. Ranking and Veterans’ preference

Qualified candidates will be assigned to one of the following quality categories:

In addition to meeting minimum qualifications, applicants must demonstrate an advanced level of the experience and competencies required for the position.

In addition to meeting minimum qualifications, applicants must demonstrate a moderate level of the experience and competencies required for the position.

In addition to meeting minimum qualifications, applicants must demonstrate a basic level of the experience and competencies required for the position.

CTAP and ICTAP candidates must be rated ""Well Qualified"" for the position to receive consideration for special priority.

Qualified veterans who have a compensable service-connected disability of at least 10% are listed in the Highly Qualified category, except when the position being filled is scientific or professional at the GS-09 grade level, or higher. This position is considered scientific/professional. Other 10-point preference eligible and veterans with 5-point preference who meet the eligibility and qualification requirements are placed above non-preference eligible applicants within the category in which they qualify. View information on veterans' preference on OPM’s Fed Hire Vets website.

Agency and Interagency Career Transition Assistance Program (CTAP and ICTAP) Eligibles: If you have never been a Federal employee, you are not CTAP or ICTAP eligible. View information about CTAP and ICTAP eligibility on OPM's Career Transition Resources website. You must be rated in the Well-Qualified category for this position and submit the supporting documents listed under the required documents section of this job announcement to receive consideration for selection priority.

If you are selected for a position, you will then be removed from consideration for other similar positions filled through this announcement. If you are not selected, you may be considered for similar positions filled through this announcement for an extended period of time.

You may preview questions for this vacancy.

Help
Required Documents

All required documents listed below, that are applicable to you, must be submitted to our automated system by 11:59 p.m. Eastern Time (ET) on the closing date of this announcement.

1. Resume showing relevant work/volunteer experience, education and training. Include the start and end dates (from month/year to month/year) and the number of hours per week worked/volunteered. Your resume serves as the basis for qualification determinations and must support your answers to the completed online assessment questions.

2. Transcripts, if applicable and you are qualifying based on education. See the Qualification and Education sections of this announcement for more information. If selected, an official/sealed college transcript(s) will be required to verify education prior to employment. Please note more than one transcript maybe needed verify basic education requirements.


To claim 5-point preference, submit a copy of your DD-214 Certificate of Release or Discharge from Active Duty.
To claim 10-point preference, submit all required documentation outlined on the SF-15 (Application for 10-Point Veteran Preference) to support your claim (e.g., DD-214, official statement from the Department of Veterans Affairs, etc.). If we cannot verify your 10-point preference claim, your application will be reviewed for 5-point preference.
To claim 10-point derived preference (i.e., spouses, widows, widowers or mothers of veterans), submit a completed SF-15 and all required documentation listed on the SF-15 to support your claim.
To claim 0-point Sole Survivorship preference, submit a copy of your DD-214 or another form of official documentation showing that your discharge or release from active duty occurred on or after August 29, 2008 and was based on a sole survivorship discharge.


DD-214 Member 4 copies are preferred and must show the dates of service, type of discharge, and any qualifying service campaign medals.
If you are currently on active duty and applying based on eligibility under the Veterans Opportunity to Work (VOW) Act, you must provide a certification on letterhead from your military branch which contains your military service dates, expected date of discharge or release, and the character of service to show that your military service was performed under honorable conditions. The expected date of discharge or release must be no later than 120 days after the certification is submitted for consideration for this vacancy announcement.
For more veterans’ preference information, visit the USAJOBS Help Center.

4. ICTAP/CTAP documentation, if applicable (e.g., reduction-in-force (RIF) separation notice, RIF separation SF-50 personnel action, certification of expected separation, etc.). Visit our agency’s ICTAP and CTAP eligibility information sites for more information and required application documentation.

If you are relying on your education to meet qualification requirements:

Education must be accredited by an accrediting institution recognized by the U.S. Department of Education in order for it to be credited towards qualifications. Therefore, provide only the attendance and/or degrees from schools accredited by accrediting institutions recognized by the U.S. Department of Education.

Failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating.

Help
How to Apply

Prepare your application in USAJOBS

To start your application, click Apply and we’ll walk you through the process to attach a resume and any required documents.

During the application process you can review, edit, delete, and update your information. We’ll automatically save your progress as you go, so you won’t lose any changes. You have until 11:59 p.m. Eastern Time (ET) on the closing date of this announcement to complete the application process.

Select the ""Apply"" button and follow the instructions to register or sign into USAJOBS.

Submit your resume. Please see the Required Documents section for specific information that should be outlined in your resume.

Complete the online assessment questions.

Submit all required documentation applicable to you, as listed in the Required Documents section.

To learn how to view the status of your submitted supporting documentation and application, visit the Application Instructions section of our agency’s Civil Service selection process site.

Technical assistance with your on-line application is available through the Help Desk at mgshelp@monster.com or by calling (866) 656-6830 between the hours of 7:00 a.m. and 7:00 p.m. ET

Alternate Application Procedures

If applying online poses an extreme hardship, you may request alternate application procedures to submit your application package. Contact the Human Resources office listed on the announcement between the business hours of 8:15 a.m. and 5:00 p.m. ET at least 2 working days prior to the closing date of this announcement. The application package for alternate application procedures must be submitted and received in the Human Resources office no later than 11:59 p.m. ET on the closing date of this announcement. Paper applications and information sent by mail will not be accepted.",4.0,"U.S. Department of State
4.0","Washington, DC",-1,10000+ Employees,1789,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,-1,0,1,112,146,129.0,"U.S. Department of State
", DC,234,1,0,0,0,0
Data Scientist,$84K - $127K (Glassdoor est.),"Mosaic Data Science, located in the Northern Virginia/Washington, DC Metro area,
encourages qualified data scientists to contact us regarding current full-time, salaried
consulting opportunities in the United States and Canada.
Mosaic Data Science is a dynamic, growing data science consultancy solving some of the
most complex and interesting problems in industry. At Mosaic you’ll contribute to data
science projects requiring a variety of analytical and business skills in many verticals,
including logistics, retail, utilities, healthcare, telecommunications, media, oil and gas, and
manufacturing. You’ll work with talented, creative, and self-motivated colleagues who hold
themselves to very high standards of professionalism and quality. You will have an
opportunity to interface directly with customers; part-time travel to customer sites may be
required. Telecommute options are available for experienced candidates. You can expect
your responsibilities to grow as quickly as you’re willing and able to meet them. You’ll enjoy
a fantastic benefits package that includes profit sharing and generous personal leave,
professional development opportunities, as well as first-rate healthcare and retirement
benefits. Most folks who join Mosaic stay here for a long time.


Bachelor’s degree or higher in applied math, statistics, operations research,
computer science, engineering, physics, cognitive science, or a related field;
Master’s/PhD preferred
Working knowledge of statistics, machine learning, optimization, data visualization,
computer programming, and database systems
Practical experience with R or Python and relevant data manipulation, visualization,
and machine learning libraries
1+ years of experience applying technical skills to real-world business problems
Strong written and verbal communication skills, a high level of professionalism, and
a positive & collaborative approach
Willingness and ability to learn new skills and tools quickly on the job
Must be a US or Canadian Citizen or Permanent Resident
All qualified applicants will receive consideration for employment and will not be
discriminated against on the basis of race, color, religion, sex, sexual orientation, gender
identity, national origin, age, disability, or protected veteran status. Mosaic Data Science
takes affirmative action in support of its policy to employ and advance in employment
individuals who are minorities, women, protected veterans, and individuals with disabilities.
www.mosaicdatascience.com",5.0,"Mosaic Data Science
5.0","Leesburg, VA",-1,51 to 200 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,0,84,127,105.5,"Mosaic Data Science
", VA,-1,1,0,0,0,0
Data Scientist,Employer Provided Salary:$99K,"Labor Condition Application Posting Information
H-1B non-immigrant workers are being sought by WinWire Technologies, Inc. through the filing of a labour condition application with the Employment and Training Administration of the U.S. Department of Labour.
Employment Information:
1. Location of Employment (City, State):
Exelixis, Inc. – 1851 Harbor Bay Parkway, Alameda, CA 94502

2. H-1B Job Title:
Data Scientist",4.0,"WinWire
4.0","Harrison, NJ",-1,501 to 1000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,1,99,99,99.0,"WinWire
", NJ,17,0,0,0,0,0
