,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,Redvest App,Data Scientist,Remote,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1,"Integration Developer Network LLC
4.9",Data Scientist,Remote,#N/A,#N/A,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2011,$1 to $5 million (USD)
2,KesarWeb,Data Scientist,"Detroit, MI",#N/A,#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
3,"ApolloMed
4.6",Data Scientist I,Remote,#N/A,#N/A,501 to 1000 Employees,Company - Public,Healthcare,Health Care Services & Hospitals,1994,$500 million to $1 billion (USD)
4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5,"Numero Data
3.9",Data Scientist,Remote,#N/A,#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7,Proits Hub LLC,Data Analytics Engineer,Remote,#N/A,#N/A,1 to 50 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
8,"Partyup
4.4",Game Data Scientist,Remote,#N/A,#N/A,Unknown,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
9,Humbi Analytics LLC,Healthcare Data Scientist,Remote,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10,"Veritis Group Inc
4.3",Senior Data Scientist,Remote,#N/A,#N/A,51 to 200 Employees,Company - Private,Personal Consumer Services,Beauty & Wellness,#N/A,Less than $1 million (USD)
11,"WinWire
3.9",Data Scientist,"Harrison, NJ",#N/A,#N/A,501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,2006,Unknown / Non-Applicable
12,"Vetro Tech Inc
3.9",Data Scientist,"Philadelphia, PA",#N/A,#N/A,Unknown,Company - Public,Human Resources & Staffing,Staffing & Subcontracting,#N/A,Unknown / Non-Applicable
13,"Stitch Fix
3.2",Data Scientist,Remote,#N/A,#N/A,10000+ Employees,Company - Public,Retail & Wholesale,Other Retail Stores,2011,$1 to $5 billion (USD)
14,"The Hartford
4.0",Junior Data Scientist - Telematics (REMOTE),"Charlotte, NC",#N/A,#N/A,10000+ Employees,Company - Public,Insurance,Insurance Carriers,1810,$10+ billion (USD)
15,"U.S. Department of State
4.0",Data Scientist,"Washington, DC",#N/A,#N/A,10000+ Employees,Government,Government & Public Administration,National Agencies,1789,Unknown / Non-Applicable
16,"Tencent
4.0",Uncapped Games - Data Scientist (All Levels),"Los Angeles, CA",#N/A,#N/A,10000+ Employees,Company - Public,Information Technology,Internet & Web Services,1998,Unknown / Non-Applicable
17,"Vertex, Inc.
3.9",Data Scientist (Remote),Remote,#N/A,#N/A,1001 to 5000 Employees,Company - Public,Information Technology,Software Development,1978,$100 to $500 million (USD)
18,"Ford Motor Company
4.1",Data Scientist,"Dearborn, MI",#N/A,#N/A,10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,1903,$10+ billion (USD)
19,"VITA TECH INC
5.0",Data Scientist,"Sunnyvale, CA",#N/A,#N/A,51 to 200 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
20,"Mondelēz International
4.0",Jr. Data Scientist,New Jersey,#N/A,#N/A,10000+ Employees,Company - Public,Manufacturing,Food & Beverage Manufacturing,2012,$10+ billion (USD)
21,"COMTEC
2.4",Data Scientist,"Plano, TX",#N/A,#N/A,51 to 200 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
22,Upen Group Inc,Data Scientist,"Irving, TX",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23,"Netrush
3.0",Associate Data Scientist,"Vancouver, WA",#N/A,#N/A,51 to 200 Employees,Company - Private,Media & Communication,Advertising & Public Relations,2006,Unknown / Non-Applicable
24,"Vastek Group inc
4.5",Data Scientist,Remote,#N/A,#N/A,201 to 500 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2015,$25 to $100 million (USD)
25,"Abbott Laboratories
3.8",Data Scientist,"Alameda, CA",#N/A,#N/A,10000+ Employees,Company - Public,Healthcare,Health Care Services & Hospitals,1888,$10+ billion (USD)
26,"GTA (Global Technology Associates)
4.6",Data Scientist,"Reston, VA",#N/A,#N/A,Unknown,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
27,"Hearst Media Services
3.8",Data Scientist,"New York, NY",#N/A,#N/A,10000+ Employees,Company - Private,Media & Communication,Publishing,1887,$10+ billion (USD)
28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
